Car Make,Car Model,Year,Engine Size (L),Horsepower,Torque (lb-ft),0-60 MPH Time (seconds),Price (in USD),Country
Porsche,911,2022,3,181,331,4,"101,200",Germany
Lamborghini,Huracan,2021,5.2,237,443,2.8,"274,390",Italy
Ferrari,488 GTB,2022,3.9,237,561,3,"333,750",Italy
Audi,R8,2022,5.2,237,406,3.2,"142,700",Germany
McLaren,720S,2021,4,237,568,2.7,"298,000",UK
BMW,M8,2022,4.4,237,553,3.1,"130,000",Germany
Mercedes-Benz,AMG GT,2021,4,237,494,3.8,"118,500",Germany
Chevrolet,Corvette,2021,6.2,255,465,2.8,"59,900",USA
Ford,Mustang Shelby GT500,2022,5.2,288,625,3.5,"81,000",USA
Nissan,GT-R Nismo,2021,3.8,296,481,2.5,"212,000",Japan
Aston Martin,DB11,2021,5.2,296,516,3.5,"201,495",UK
Bugatti,Chiron,2021,8,296,1180,2.4,"3,000,000",France
Dodge,Challenger SRT Hellcat,2022,6.2,296,656,3.5,"61,000",USA
Jaguar,F-Type,2022,3,296,295,5.4,"70,100",UK
Koenigsegg,Jesko,2021,5,296,1015,2.5,"2,800,000",Sweden
Lexus,LC 500,2021,5,296,398,4.4,"92,950",Japan
Lotus,Evora GT,2021,3.5,296,317,3.8,"104,450",UK
Maserati,GranTurismo,2021,4.7,300,384,4.8,"150,000",Italy
Porsche,Boxster,2021,2,300,280,4.7,"62,000",Germany
Alfa Romeo,Giulia Quadrifoglio,2022,2.9,300,443,3.8,"78,000",Italy
Ariel,Atom,2021,2,300,243,2.8,"75,000",UK
Bentley,Continental GT,2021,6,300,664,3.6,"225,000",UK
McLaren,Artura,2022,3,300,531,3,"225,000",UK
Mercedes-AMG,SLS AMG,2021,6.2,300,468,3.5,"248,000",Germany
Pagani,Huayra,2021,6,300,737,2.8,"2,800,000",Italy
Polestar,1,2021,2,300,738,4.1,"155,000",Sweden
Rimac,Nevera,2022,Electric,300,1696,1.85,"2,400,000",Croatia
Porsche,Cayman GT4,2022,4,300,309,3.8,"100,200",Germany
Lamborghini,Aventador SVJ,2021,6.5,300,531,2.8,"517,770",Italy
Ferrari,SF90 Stradale,2021,4,300,590,2.5,"625,000",Italy
Audi,RS7,2022,4,300,590,3.5,"117,000",Germany
McLaren,Artura,2021,3,300,531,3,"225,000",UK
BMW,M4,2022,3,300,479,3.8,"72,800",Germany
Mercedes-Benz,SLS AMG,2015,6.2,300,468,3.2,"222,000",Germany
Chevrolet,Camaro ZL1,2021,6.2,300,650,3.5,"64,695",USA
Ford,GT,2022,3.5,300,550,3,"500,000",USA
Nissan,370Z Nismo,2021,3.7,300,276,4.5,"45,690",Japan
Porsche,Taycan 4S,2022,Electric Motor,300,479,3.8,"104,000",Germany
Lamborghini,Urus,2021,4,300,626,3.5,"218,000",Italy
Ferrari,Roma,2021,3.9,305,561,3.3,"222,000",Italy
Audi,RS3,2022,2.5,310,369,3.9,"57,000",Germany
McLaren,GT,2021,4,310,465,3.1,"210,000",UK
BMW,i8,2020,1.5 + Electric,310,420,4.2,"148,500",Germany
Mercedes-Benz,CLS63 AMG,2019,4,310,627,3.4,"132,000",Germany
Porsche,Cayman,2021,2,320,280,5.1,"58,900",Germany
Lamborghini,Aventador SVJ,2021,6.5,325,531,2.8,"518,000",Italy
Ferrari,SF90 Stradale,2021,4,325,590,2.5,"625,000",Italy
Audi,RS3,2022,2.5,325,369,3.9,"56,200",Germany
McLaren,570S,2021,3.8,325,443,2.8,"192,500",UK
BMW,M4,2022,3,325,479,3.8,"71,800",Germany
Mercedes-Benz,AMG C63,2021,4,325,516,3.8,"68,000",Germany
Chevrolet,Camaro SS,2021,6.2,325,455,4.1,"42,500",USA
Ford,Mustang GT,2022,5,325,420,4.3,"39,000",USA
Nissan,370Z Nismo,2021,3.7,332,276,4.8,"46,100",Japan
Aston Martin,Vantage,2021,4,332,505,3.5,"142,100",UK
Lotus,Evora GT,2021,3.5,332,317,3.8,"105,000",UK
Porsche,Panamera,2021,2.9,332,331,5.1,"87,200",Germany
Lamborghini,Urus,2021,4,332,627,3.2,"218,000",Italy
Ferrari,Roma,2021,3.9,332,560,3.4,"222,000",Italy
Audi,S5,2022,3,332,369,4.4,"52,500",Germany
McLaren,600LT,2021,3.8,332,457,2.8,"241,000",UK
BMW,M5,2022,4.4,332,553,3.2,"103,500",Germany
Aston Martin,Vantage,2022,4,349,505,3.5,"146,000",UK
Audi,RS5,2021,2.9,349,443,3.6,"75,400",Germany
BMW,M2,2022,3,350,406,4,"58,900",Germany
Chevrolet,Camaro SS,2021,6.2,350,455,4,"42,900",USA
Dodge,Challenger SRT Hellcat Redeye,2022,6.2,350,707,3.4,"78,595",USA
Ford,GT,2021,3.5,350,550,3,"500,000",USA
Jaguar,F-Type,2022,2,350,295,5.4,"62,750",UK
Lamborghini,Aventador,2021,6.5,350,531,2.9,"417,826",Italy
Maserati,GranTurismo,2021,4.7,350,384,4.7,"150,980",Italy
McLaren,Artura,2022,3,350,531,3,"225,000",UK
Mercedes-Benz,C63 AMG,2021,4,350,516,3.8,"70,100",Germany
Nissan,370Z,2021,3.7,350,270,5,"30,090",Japan
Porsche,Panamera,2022,2.9,350,331,5.3,"88,700",Germany
Audi,TT RS,2021,2.5,350,354,3.6,"67,600",Germany
BMW,M4,2022,3,350,406,4.1,"72,800",Germany
Chevrolet,Corvette Stingray,2021,6.2,350,465,2.8,"59,900",USA
Ferrari,F8 Tributo,2021,3.9,350,568,2.8,"274,280",Italy
Ford,Mustang Mach 1,2021,5,350,420,4.3,"52,915",USA
Lamborghini,Urus,2021,4,350,627,3.6,"218,009",Italy
Porsche,718 Cayman,2022,2,350,280,4.5,"61,000",Germany
Acura,NSX,2022,3.5,350,476,2.9,"159,495",Japan
Aston Martin,Vantage,2022,4,350,505,3.5,"142,086",UK
Bentley,Continental GT,2021,6,350,664,3.3,"219,800",UK
Bugatti,Chiron,2022,8,350,1180,2.4,"3,000,000",France
Dodge,Challenger SRT Hellcat Redeye,2022,6.2,350,707,3.4,"74,290",USA
Jaguar,F-Type,2022,3,350,339,4.9,"71,900",UK
Koenigsegg,Jesko,2022,5,350,1106,2.5,"3,000,000",Sweden
Lexus,LC 500,2022,5,365,398,4.4,"92,950",Japan
Lotus,Evora GT,2021,3.5,368,317,3.8,"105,000",UK
Maserati,GranTurismo,2022,4.7,369,384,4.7,"134,300",Italy
Mazda,MX-5 Miata,2021,2,369,151,6.5,"26,830",Japan
McLaren,GT,2022,4,369,465,3.1,"213,195",UK
Mercedes-Benz,SLS AMG,2015,6.2,369,468,3.7,"221,580",Germany
Pagani,Huayra,2022,6,372,738,2.8,"2,800,000",Italy
Porsche,718 Cayman GT4,2022,4,379,309,4.2,"100,550",Germany
Rimac,Nevera,2022,Electric,379,1696,1.95,"2,400,000",Croatia
Rolls-Royce,Wraith,2021,6.8,380,605,4.4,"330,000",UK
Tesla,Roadster,2022,Electric,380,737,1.9,"200,000",USA
Toyota,Supra,2022,3,380,368,3.9,"43,090",Japan
W Motors,Fenyr Supersport,2022,3.8,380,723,2.7,"1,700,000",UAE
Porsche,718 Cayman,2022,2,380,280,4.7,"60,500",Germany
Lamborghini,Aventador,2021,6.5,380,531,2.9,"522,000",Italy
Ferrari,SF90 Stradale,2021,4,380,590,2.5,"625,000",Italy
Audi,TT RS,2022,2.5,380,354,3.4,"67,000",Germany
McLaren,GT,2021,4,382,465,3.1,"212,500",UK
BMW,M4,2022,3,382,479,3.8,"75,000",Germany
Mercedes-Benz,SL 63 AMG,2021,4,382,664,3.5,"155,000",Germany
Chevrolet,Camaro ZL1,2021,6.2,382,650,3.5,"64,000",USA
Ford,GT,2022,3.5,382,550,2.8,"500,000",USA
Nissan,370Z,2021,3.7,382,270,4.7,"31,015",Japan
Aston Martin,DBS Superleggera,2021,5.2,382,664,3.4,"304,995",UK
Bugatti,Chiron,2021,8,382,1180,2.4,"3,000,000",France
Lotus,Evora GT,2021,3.5,385,317,3.8,"105,000",UK
McLaren,570S,2021,3.8,385,443,3.2,"192,500",UK
Porsche,Panamera Turbo S E-Hybrid,2021,4,394,642,3.2,"190,000",Germany
Lamborghini,Urus,2021,4,394,627,3.6,"222,000",Italy
Ferrari,Roma,2021,3.9,394,561,3.3,"222,000",Italy
Audi,RS7,2021,4,394,590,3.5,"115,000",Germany
BMW,M2,2022,3,394,406,4.2,"59,000",Germany
Porsche,Cayman GT4,2022,4,394,309,4.2,"102,100",Germany
Lamborghini,Aventador,2021,6.5,394,509,2.9,"417,826",Italy
Aston Martin,DBS Superleggera,2021,5.2,394,664,3.2,"304,995",UK
Bentley,Continental GT,2021,6,394,664,3.6,"220,300",UK
Audi,RS7,2022,4,394,590,3.5,"114,000",Germany
Mercedes-Benz,SLS AMG,2021,6.2,394,468,3.7,"239,100",Germany
McLaren,570S,2021,3.8,394,443,3.1,"192,500",UK
BMW,M2,2022,3,394,406,4,"58,900",Germany
Chevrolet,Camaro ZL1,2021,6.2,394,650,3.5,"62,500",USA
Dodge,Challenger SRT Hellcat,2021,6.2,394,656,3.5,"65,290",USA
Ferrari,Portofino,2021,3.9,394,560,3.5,"219,750",Italy
Porsche,Panamera Turbo S,2022,4,394,604,2.9,"187,700",Germany
Lamborghini,Urus,2021,4,394,627,3.6,"222,004",Italy
Mercedes-Benz,AMG C63,2021,4,400,479,3.8,"71,350",Germany
Aston Martin,Vantage,2021,4,401,505,3.6,"146,000",UK
Audi,S5,2022,3,401,369,4.4,"52,500",Germany
Porsche,Cayman,2022,2.5,402,309,4.5,"68,900",Germany
Lamborghini,Aventador,2021,6.5,402,507,2.8,"517,770",Italy
Ferrari,F8 Tributo,2022,3.9,405,568,2.9,"276,550",Italy
Audi,TT RS,2021,2.5,405,354,3.6,"67,600",Germany
McLaren,570S,2021,3.8,405,443,3.1,"192,500",UK
BMW,Z4 M40i,2022,3,405,369,3.9,"63,700",Germany
Mercedes-Benz,SLS AMG,2015,6.2,405,468,3.7,"221,580",Germany
Chevrolet,Camaro SS,2022,6.2,405,455,4.1,"44,000",USA
Ford,Mustang Mach 1,2021,5,405,420,4,"51,720",USA
Nissan,370Z Nismo,2021,3.7,405,276,4.9,"45,790",Japan
Porsche,Panamera,2022,2.9,405,331,5.4,"88,550",Germany
Lamborghini,Urus,2021,4,405,627,3.5,"218,009",Italy
Ferrari,Roma,2021,3.9,405,561,3.3,"222,620",Italy
Audi,RS 3,2022,2.5,405,369,3.6,"56,200",Germany
McLaren,GT,2021,4,405,465,3.2,"200,000",UK
BMW,M2 CS,2022,3,405,406,3.8,"84,595",Germany
Mercedes-Benz,AMG C63,2021,4,405,516,3.8,"77,500",Germany
Chevrolet,Camaro ZL1,2021,6.2,405,650,3.5,"62,500",USA
Acura,NSX,2021,3.5,405,476,2.7,"157,500",Japan
Aston Martin,DB11,2022,4,405,513,3.7,"204,100",UK
Bentley,Continental GT,2021,6,414,664,3.4,"220,300",UK
Bugatti,Chiron,2021,8,414,1180,2.4,"3,000,000",France
Dodge,Viper,2017,8.4,414,600,3.3,"120,000",USA
Jaguar,F-Type,2022,3,414,339,4.9,"69,900",UK
Koenigsegg,Jesko,2022,5,414,1106,2.5,"3,000,000",Sweden
Lexus,LC 500,2022,5,414,398,4.4,"92,950",Japan
Lotus,Evora GT,2021,3.5,414,317,3.8,"105,950",UK
Maserati,GranTurismo,2020,4.7,414,384,4.8,"150,000",Italy
McLaren,570S,2020,3.8,414,443,3.1,"204,550",UK
Pagani,Huayra,2020,6,414,738,3,"2,700,000",Italy
Porsche,Cayman GT4,2022,4,414,309,4.2,"102,900",Germany
Rimac,C_Two,2022,,414,1696,1.9,"2,400,000",Croatia
Rolls-Royce,Wraith,2021,6.6,414,605,4.3,"330,000",UK
Shelby,Cobra,1965,7,414,440,4.2,"1,000,000",USA
Tesla,Model S Plaid,2021,,414,1050,1.98,"131,190",USA
Toyota,GR Supra,2022,3,414,368,3.9,"43,090",Japan
TVR,Griffith,2022,5,414,479,3.8,"123,500",UK
W Motors,Lykan Hypersport,2015,3.7,414,708,2.8,"3,400,000",UAE
Porsche,718 Cayman,2021,2,414,280,4.5,"61,500",Germany
Lamborghini,Aventador SVJ,2021,6.5,414,531,2.8,"518,000",Italy
Ferrari,SF90 Stradale,2022,4,414,590,2.5,"507,000",Italy
Audi,RS 6,2021,4,414,590,3.5,"109,000",Germany
